track_id,weight
36973,1
57293,0.8474
57143,0.7066
36953,0.6461
36963,0.6442
57253,0.5805
36993,0.5664
56923,0.5165
57033,0.4637
57323,0.415
57243,0.4144
56873,0.4035
37083,0.3629
57353,0.3379
37103,0.3363
57073,0.3146
37013,0.2963
57343,0.2957
56833,0.2928
56843,0.288
37023,0.2832
36943,0.271
57203,0.2499
37003,0.232
56893,0.2154
56853,0.2045
57183,0.199
56823,0.1981
56963,0.1946
57013,0.1923
56813,0.1901
56793,0.1894
37043,0.1795
56903,0.161
56973,0.161
57043,0.1555
57153,0.1408
56943,0.1171
36983,0.1146
56983,0.1139
57023,0.111
57273,0.1082
56913,0.1056
57223,0.105
57053,0.1011
57083,0.0995
57333,0.097
56993,0.0957
37053,0.095
57103,0.0947
56803,0.0909
56953,0.0906
56783,0.0854
57283,0.0848
57233,0.0845
56933,0.0803
37063,0.0797
37133,0.0726
57213,0.0726
57133,0.0698
57193,0.0688
57123,0.0637
37093,0.063
57113,0.0614
37073,0.0595
57163,0.0534
57003,0.0531
57063,0.0531
37123,0.0506
56883,0.0496
37033,0.0454
57263,0.0394
57173,0.0368
57363,0.0355
56863,0.0336
57313,0.0326
57373,0.032
37113,0.0317
57093,0.0314
57303,0.0314
140623,0.001
129493,0.0006
168144,0.0006
169884,0.0006
102413,0.0003
106023,0.0003
109923,0.0003
130433,0.0003
131043,0.0003
139443,0.0003
154794,0.0003
155824,0.0003
164204,0.0003
164374,0.0003
164704,0.0003
170514,0.0003
175104,0.0003
176114,0.0003
176184,0.0003
178944,0.0003
37253,0.0003
40263,0.0003
78743,0.0003
81223,0.0003
81473,0.0003
85003,0.0003
88543,0.0003
89713,0.0003
91943,0.0003
91953,0.0003
92063,0.0003
93593,0.0003
93703,0.0003
97663,0.0003
99983,0.0003
